titulo,valor
Meu Drama,14054
Agoniza Mas Não Morre,14053
Vivo isolado do mundo / Amor não é brinquedo,13944
"Vai Lá, Vai Lá",13850
Papel de Pão,13828
Identidade,13739
Tímida Tentação,13570
Além De Tudo / Retalhos De Cetim / Charlie Brown,13536
Ser Humano,13452
Lama Nas Ruas,13443
Tá Escrito,13400
Trem das Onze,13365
Caxambu,13333
Além do Espelho,13223
Papel de pão,13201
Mulheres,13182
Patota de Cosme,13102
Ponta de Dor,12964
Quando Eu Contar (Iaiá),12962
Amor Dos Deuses,12944
Súplica,12896
Desejo De Amar,12850
Conflito / Caviar / Dona Esponja,12761
Cadê Tereza (Mono),12739
Com Que Roupa?,12645
O Surdo,12629
Alvará,12628
Se Eu Largar O Freio,12508
Velocidade da Luz,12467
Caciqueando,12396
Vai Passar,12333
Filho De Jorge,12298
No Mesmo Manto,12297
O Sol Nascerá (Á Sorrir),12250
Bebeto Loteria,12244
Feitio de Paixão,12241
Mordomia,12194
Sinfonia Imortal,12187
Malandro,12148
Ah! Como Eu Amei,12148
Quem É Ela?,12138
Pressentimento,12127
Sempre Acesa (feat. Beth Carvalho),12108
Madalena do Jucú / Ô Irene,12068
Falsa consideração,12019
Partido Alto,11938
Eu Agora Sou Feliz,11937
Expressão do Teu Olhar,11924
Trilha do Amor (feat. Caetano Veloso),11845
Chega de Saudade,11797
Ainda É Tempo Pra Ser Feliz,11755
Reflexão,11753
Só Pra Contrariar,11642
Telegrama,11639
Enredo do Meu Samba,11354
Verdade Chinesa,11351
Pout Pourri: a,11303
Ratatúia,11249
Não Sou Mais Disso,11247
Meiguice Descarada,11233
Ponta de dor,11165
Cigana,11162
Morena De Angola,11145
Quando Eu Contar (Iáiá),11132
Alguém Me Avisou,11126
Diz Que Fui Por Aí,11122
Falsa Baiana,11102
Você Me Vira A Cabeça (Me Tira Do Sério),11070
Diz Que Fui por Aí,11003
Defunto Caguete,10955
Quintal Do Céu,10935
Essa Tal Liberdade,10925
Maneco Telecoteco,10826
Insensatez / Por um Erro,10812
Deixa A Vida Me Levar,10810
"Amor, Agora Não / Fogueira de uma Paixão",10682
Quem É Ela?,10663
Loucuras de uma paixão,10663
Seu Balancê,10632
É Preciso Muito Amor,10607
Tempo De Don Don,10604
Seja Sambista Também,10552
Volta por Cima,10511
Gamação / Peixeiro granfino / Ouço uma voz / Vem amenizar,10492
Samba De Arerê,10484
Do Fundo Do Nosso Quintal,10471
Meu Lugar,10410
Logo agora,10392
Chico Não Vai Na Corimba,10364
Cantei Só Pra Distrair,10356
O Quitandeiro,10319
Quantas Lágrimas,10315
Falador Passa Mal,10279
Burguesinha,10247
Chove e Não Molha,10235
Cabelo Pixaim,10159
Doce Refúgio,10136
Mineira,10114
Samba da Bênção,10091
E Eu Não Fui Convidado,10050
Pra Que Chorar,10041
Dança Da Solidão,10019
Papo de Samba,10007
Canto da Razão,9980
Fora de Ocasião,9979
Saco Cheio,9952
Só Felicidade,9893
Fé Em Deus,9861
Pra São Jorge,9791
O Penetra,9787
Quando Eu Contar (Iaia) / Deixa A Vida Me Levar,9770
Madelena do Jucú,9758
Um Ser de Luz,9747
Quem Vai Chorar Sou Eu,9730
Jibóia,9661
Poder da Criação,9640
Pisa Como Eu Pisei / Brincadeira Tem Hora / Quando Eu Contar (Iaia),9617
Cilada,9591
Se A Fila Andar,9551
Cilada,9550
Só Felicidade,9501
Posso Até Me Apaixonar,9497
Patota De Cosme,9481
Spc,9468
Quando Eu Contar Iaia / Hei De Guardar Teu Nome / Vou Lhe Deixar No Sereno / Quem Sorriu Foi A Patroa / Bagaço Da Laranja,9458
Fim da tristeza,9447
Capoeira,9421
Inigualável Paixão,9412
Pago pra Ver,9401
Delegado Chico Palha,9372
Despejo Na Favela,9371
Vacilão,9298
Pecado Capital,9282
Cheiro de primavera,9229
Certidão,9228
Corra e Olhe o Céu,9194
Ave Maria,9148
Samba No Quintal,9134
"Mas, Que Nada!",9119
Enredo do meu samba,9088
Além do Meu Querer,9072
Fita Amarela,9034
Não Quero Mais Saber Dela / Só Pra Contrariar,8967
Ogum,8937
Sina,8937
Cara valente,8933
Saudade Louca (Versão 1),8827
Tá Vendo Aquela Lua,8827
Capoeira,8742
Propagas,8705
Renascer das Cinzas,8698
Vazio (Está Faltando Uma Coisa Em Mim),8683
Maneiras,8660
Pressentimento,8656
Meu Ébano,8641
Da Música,8610
Canto de Ossanha,8541
Me Apaixonei Pela Pessoa Errada,8489
A Grande Família,8483
Notícia,8475
O Pequeno Burguês,8413
E Vamos A Luta,8409
Camarão Que Dorme a Onda Leva (feat. Zeca Pagodinho),8408
Conselho / Insensato Destino,8382
Minhas Andanças,8332
Na Aba,8326
Quem É Ela,8321
Sem Abuso,8295
Moleque Atrevido,8260
Samba Do Arnesto,8241
Do Jeito Que A Vida Quer/Como Dizia O Mestre,8234
Coisa da pele,8233
Sentinela,8195
Judia De Mim,8177
Sá Marina,8137
É Hoje,8123
Tristeza Pé No Chão,8072
Sagrado e Profano,8028
Baixa Essa Guarda,7977
Gamação Danada,7966
Dolores E Suas Desilusões / Coração Em Desalinho,7960
É Tanta,7929
A Voz Do Morro,7895
Brasil pandeiro,7867
Zé do Caroço,7837
A Fumaça Já Subiu Pra Cuca,7822
Poder Da Criação,7813
Enredo do meu samba,7810
"Kizomba, a Festa da Raça",7799
Gostoso Veneno,7795
Coral de anjos,7793
Disfarça E Chora,7791
Alguém Me Avisou / Sonho Meu,7789
Corra E Olhe O Céu,7777
Samba de Arerê,7755
Abuso de poder,7753
Posso Até Me Apaixonar,7734
Meiguice descarada,7732
Jibóia,7731
Samba de um Minuto,7714
Águas De Março,7703
Todo Menino É Um Rei,7696
Patricinha do Olho Azul,7635
Tape Deck,7634
Papo de Homem e Mulher,7617
Eta Povo Pra Lutar,7611
Cuca Quente,7609
Minha Filosofia,7606
Overdose de Cocada,7604
Naquela Mesa,7541
Pra Ser Minha Musa,7533
Eu e Ela,7532
Menina de cabelos longos,7477
Seguindo A História,7473
Eu não quero mais,7450
Jura,7405
Se Você Jurar/Para Me Livrar Do Mal,7360
Pintura sem arte,7354
Insegurança,7343
Parabéns pra você,7314
Chua,7305
Eu Não Quero Mais,7284
Além da Razão (Ao Vivo),7281
Um Vencedor,7270
E a vida mudou,7262
Deixa Acontecer,7260
Volta Meu Amor,7249
Amar É Bom,7238
Aquarela Brasileira,7235
"Tá Ruim, Mas Tá Bom",7213
Só Pra Contrariar / O Irene,7209
Brilho No Olhar,7201
"Cabô, Meu Pai ",7201
O Mestre Sala dos Mares,7153
Beija,7152
Saudade Louca,7141
16 Toneladas,7124
Camarão Que Dorme a Onda Leva,7120
Promessa,7120
Toda a Hora,7097
Ponto Sem Nó,7087
Quando Eu Contar (Iaiá) / Brincadeira Tem Hora,7060
Só Quero Te Namorar,7045
Que Se Chama Amor,7035
O Amanhã,6974
Obrigado Meu Samba,6973
Menina Você Bebeu,6966
Lá Vem Você,6965
Regra Três,6958
Num corpo só,6914
Pelas Tabelas,6878
Sempre Acesa,6875
Poxa,6863
Jura,6859
Flor de Lis,6854
Tendência / Não Valeu,6819
Amor e Festança,6804
A Deusa Dos Orixás,6797
Dor de Amor,6794
Bom Aprendiz,6794
Tiro Ao Alvaro,6787
Na Linha Do Mar,6776
Não Deixe o Samba Morrer,6746
Vida Da Minha Vida,6716
Mas Que Nada,6716
A Que Mais Deixa Saudade,6707
Batuque Na Cozinha,6696
Clube do Samba (feat. Martinho Da Vila),6680
Onde a dor não tem razão C 1981,6678
Coragem,6665
Conflito,6659
Flor De Lis,6659
Nossa Escola,6648
Menor Abandonado,6646
Feirinha da Pavuna (Confusão de Legumes),6642
Facho de Esperança / Nascente da Paz / Poesia de Nós Dois,6619
Bebeto Loteria,6596
Sorriso negro,6595
Exaltação à mangueira,6590
Candongueiro,6588
Inaraí,6584
Batuque na Cozinha,6582
Saigon,6581
Esqueci de Te Esquecer,6568
O Dia em Que o Morro Descer e Não For Carnaval,6567
Quem É do Mar Não Enjoa,6565
Bola Dividida,6559
Senhora Liberdade (feat. Zé Renato & Wilson Moreira),6548
Doce amizade,6509
Testamento de Partideiro,6501
Reunião de Bacanas,6497
Resto De Esperança,6493
Farol Das Estrelas,6480
Amigo É Pra Essas Coisas,6478
O Dia Se Zangou,6462
Derê,6439
Mas Que Nada,6424
Feira De Mangaio,6409
Ela Só Quer Samba,6402
Kid Cavaquinho,6400
Você Abusou,6362
Quintal do Céu,6347
Letreiro,6339
Minha Sogra Parece Sapatão,6337
A Voz Do Meu Samba,6326
Onde Anda Você,6324
Resto de esperança,6323
Singelo Menestrel,6283
Desengano,6281
Mutirão de amor,6269
"Canta, Canta Minha Gente",6250
Ponta de Dor,6240
Vem menina moça,6225
Brincadeira Tem Hora,6223
Cabô Meu Pai / Uma Prova De Amor / Quando A Gira Girou,6222
Mas Quem Disse Que Eu Te Esqueço,6215
Só por um momento,6212
Já Não Arde,6186
