termo,valor
escola de samba,100
escolas de samba,77
rio samba,52
musica samba,46
samba enredo,43
harmonia do samba,41
samba brasil,31
exalta samba,28
pagode,26
samba video,22
roda de samba,21
desfile das escolas de samba,20
samba rock,19
samba house,16
samba por,16
escolas de samba de sp,14
oba oba samba house,13
escolas de samba sp,13
bar samba,12
terra samba,12
vila do samba,11
samba e pagode,11
samba canção,11
samba de raiz,11
gigantes do samba,10
