titulo,valor
Insegurança / Nem de Graça (Ao Vivo),5504
Perco a linha,5497
Brigas por Nada,5466
Vem,5393
Jogo De Sedução,5363
Preciso Te Amar,5333
Lugarzinho,5292
Nada pra Fazer / Nascente da Paz,5290
Conselho,5243
Oh! Lá em Casa,5230
Derê,5167
Inaraí,5152
Linguagem Dos Olhos,5125
Desliga E Vem,5071
Deixa A Vida Me Levar,5052
Baixa Essa Guarda,5020
Me assume ou me esquece,5001
Luz do Desejo / Farol das Estrelas / Eternamente Feliz (Ao Vivo),4990
Até O Sol Quis Ver,4963
Desencana,4947
Pretexto,4908
Duas Paixões,4903
Clareou,4891
Gamei,4880
Sogra,4860
Parakundê,4858
Três palavras (Participação especial de Suel),4848
Burguesinha,4826
A Carne É Fraca,4800
Cilada (feat. Nosso Sentimento),4791
Sou Favela,4790
Farol Das Estrelas,4784
Indiferença,4752
Desse Jeito é Ruim pra Mim,4730
Eu nunca amei assim,4687
O Show Tem Que Continuar,4680
Viver Sem Ti,4626
Meu Jeito Moleque,4617
Se Quiser,4603
Distante do Seu Mundo,4603
Perfume,4559
Eu sou feliz assim,4557
Tenho Medo,4553
Pele na Pele,4549
Selinho,4542
Ensaboado,4533
Tentei ser incrível,4509
Cigana,4489
Amanhã,4488
Ninguém Ama (Ao Vivo na Fonte Nova),4486
Não Tem Perdão,4474
Reinventar,4467
Morango do Nordeste / Megastar / É Tarde Demais (Ao Vivo),4447
Castelo de um Quarto Só,4442
Qualquer Versão,4413
Aonde Quer Chegar (feat. Gaab),4389
Depois do Prazer,4374
Antes e depois (Participação especial de Dilsinho),4348
Marrom Bombom,4334
Disfarça,4314
Amor Bipolar,4294
A Amizade,4291
O Brasil Tem Que Te Ver (feat. MC Kevinho),4290
Engano,4288
Ligando os Fatos / Deixa Eu Te Querer / Desse Jeito É Ruim pra Mim,4270
A Amizade é Tudo (feat. Thiaguinho),4262
Cohab City / Vem Pra Cá / Beijo Geladinho (Ao Vivo),4261
A boba fui eu,4261
Fortaleza / Tempo / Lugarzinho (Participação especial de Tiee),4259
Dona dos Meus Sonhos,4240
Me Faz Feliz,4233
Vai Me Dando Corda,4226
Preliminares,4223
Não Quero Despedida,4220
Fotos Antigas,4216
Se Der Rolo,4214
Brilho De Cristal / Vergonha Na Cara,4213
O som do tambor,4204
Arco,4203
Sinal Vital,4153
Modo Avião / Quem,4137
Combinado,4128
O Que Tinha Que Dar,4119
Incondicionalmente,4108
Essência da Paixão,4088
Dorme Com Deus,4076
Se Eu Te Pego Te Envergo,4058
Tem Alguém Sobrando,4021
Vai e Chora,4002
Deus Me Livre,3979
Faz Assim,3973
Ousadia & Alegria,3910
Costumes Iguais,3909
Tempo De Aprender,3908
Depois do Prazer / Essa Tal Liberdade / Encerramento,3896
Displicente,3893
Deixa em Off / Estrela / Tchau e Bença / Vamo Que Vamo / Jogo de Sedução (Ao Vivo),3884
Palavras de Amigo,3863
Dilema,3838
Talvez,3836
Amiga da Minha Mulher / Cilada,3827
Shortinho Saint,3789
Hoje Tem,3788
Deixa pra Amanhã,3778
"Calma, Calma ",3753
Falando Segredo,3751
Você e eu,3739
Chão de estrelas,3712
Chave e Cadeado,3700
Medley: 4 da Manhã / Sou Favela / Preservê,3696
Fernando de Noronha,3687
Por enquanto deixa assim,3684
Dia X,3676
40 Graus / Gamei / Azul Sem Fim / Até o Sol Quis Ver / A Carta,3674
"Nunca Foi Sorte, Sempre Foi Deus ",3657
Amor em Braile,3656
Tá Escrito,3649
Nas Nuvens,3641
Ainda Existe Amor Em Nós,3633
Teu Segredo,3625
Céu e Fé,3621
Já Virou Rotina,3611
Contramão,3608
Ainda Gosto de Você,3603
Nem Botei Fé,3598
Cartão Postal,3590
Esqueci de Te Esquecer,3589
Chora,3576
Pega Senha,3572
Clichê,3570
Logo de Manhã,3547
É dela que eu gosto,3540
Retrô,3522
Chato Pa Carai (Ao Vivo),3515
Ninguém Ama,3514
Gostosinha,3511
Cansei de Farra / Se Quiser (Ao Vivo),3507
Atrasadinha / Sinto a Sua Falta (Ao Vivo),3497
Amor e Amizade / Armadilha / Melhor Amiga da Minha Namorada (Ao Vivo),3496
Altas Horas,3496
Eu Te Amo,3491
Sem Ela Não Dá,3489
Mô,3480
Preservê,3471
Para de Falar Tanta Besteira,3458
Toma Jeito Coração,3456
Para Tudo,3449
Que Se Chama Amor,3441
Paciência (Participação especial de Ludmilla),3436
Dois Rivais,3435
Amor difícil,3405
Cansei,3399
Homem de Ferro,3394
Brilho de Cristal,3388
Mina De Fé,3385
Não Seria Justo,3378
A Gente Se Pá,3377
Camisa 10 / Curtindo a Vida,3371
Não é por maldade,3365
Para De Pirraca,3365
Fato Consumado,3335
Assim Você Mata o Papai,3333
Pequenos Detalhes,3322
Me Olha Nos Olhos,3315
Preciso Te Amar / Ela Entrou Na Dança / Tempo Perdido (Ao Vivo),3306
Caça E Caçador,3303
Agora Viu Que Perdeu E Chora / Mulher Não Manda Em Homem,3298
Você e eu,3286
Vi Amor no Seu Olhar,3285
Paciência,3279
Ainda Bem,3257
Valeu pra Aprender,3246
É Tarde Demais,3219
Fica,3217
Ainda Bem,3216
Estrela,3214
Vê Se Me Escuta,3211
Vacilão,3205
Minha namorada,3194
Gostava Tanto de Você,3189
Meu bem,3189
