,Palavra,Artista,Quantidade_y,Quantidade_total,Gênero,Década de nascimento,UF de nascimento,Nome
0,abraçar,adoniran-barbosa,4,742,Homem,1910-1919,SP,Adoniran Barbosa
1,abrir,adoniran-barbosa,4,912,Homem,1910-1919,SP,Adoniran Barbosa
2,acabar,adoniran-barbosa,9,1832,Homem,1910-1919,SP,Adoniran Barbosa
3,achar,adoniran-barbosa,8,1151,Homem,1910-1919,SP,Adoniran Barbosa
4,acontecer,adoniran-barbosa,12,929,Homem,1910-1919,SP,Adoniran Barbosa
5,acordar,adoniran-barbosa,3,698,Homem,1910-1919,SP,Adoniran Barbosa
6,acreditar,adoniran-barbosa,1,756,Homem,1910-1919,SP,Adoniran Barbosa
7,adeus,adoniran-barbosa,20,801,Homem,1910-1919,SP,Adoniran Barbosa
8,agora,adoniran-barbosa,31,2881,Homem,1910-1919,SP,Adoniran Barbosa
9,alegria,adoniran-barbosa,8,1494,Homem,1910-1919,SP,Adoniran Barbosa
10,algum,adoniran-barbosa,7,538,Homem,1910-1919,SP,Adoniran Barbosa
11,alto,adoniran-barbosa,3,649,Homem,1910-1919,SP,Adoniran Barbosa
12,além,adoniran-barbosa,4,940,Homem,1910-1919,SP,Adoniran Barbosa
13,amanhã,adoniran-barbosa,26,1094,Homem,1910-1919,SP,Adoniran Barbosa
14,amar,adoniran-barbosa,20,9816,Homem,1910-1919,SP,Adoniran Barbosa
15,amigar,adoniran-barbosa,7,701,Homem,1910-1919,SP,Adoniran Barbosa
16,amigo,adoniran-barbosa,3,635,Homem,1910-1919,SP,Adoniran Barbosa
17,amor,adoniran-barbosa,58,31458,Homem,1910-1919,SP,Adoniran Barbosa
18,andar,adoniran-barbosa,11,1990,Homem,1910-1919,SP,Adoniran Barbosa
19,ano,adoniran-barbosa,4,667,Homem,1910-1919,SP,Adoniran Barbosa
20,aprender,adoniran-barbosa,1,704,Homem,1910-1919,SP,Adoniran Barbosa
21,ar,adoniran-barbosa,2,778,Homem,1910-1919,SP,Adoniran Barbosa
22,azul,adoniran-barbosa,2,668,Homem,1910-1919,SP,Adoniran Barbosa
23,bater,adoniran-barbosa,13,1694,Homem,1910-1919,SP,Adoniran Barbosa
24,batucar,adoniran-barbosa,1,526,Homem,1910-1919,SP,Adoniran Barbosa
25,beber,adoniran-barbosa,11,983,Homem,1910-1919,SP,Adoniran Barbosa
26,beijar,adoniran-barbosa,4,1982,Homem,1910-1919,SP,Adoniran Barbosa
27,beleza,adoniran-barbosa,5,765,Homem,1910-1919,SP,Adoniran Barbosa
28,belo,adoniran-barbosa,1,561,Homem,1910-1919,SP,Adoniran Barbosa
29,boca,adoniran-barbosa,1,1198,Homem,1910-1919,SP,Adoniran Barbosa
30,bolar,adoniran-barbosa,1,545,Homem,1910-1919,SP,Adoniran Barbosa
31,bom,adoniran-barbosa,23,3691,Homem,1910-1919,SP,Adoniran Barbosa
32,bonito,adoniran-barbosa,9,1166,Homem,1910-1919,SP,Adoniran Barbosa
33,branco,adoniran-barbosa,2,706,Homem,1910-1919,SP,Adoniran Barbosa
34,braço,adoniran-barbosa,4,799,Homem,1910-1919,SP,Adoniran Barbosa
35,brigar,adoniran-barbosa,3,610,Homem,1910-1919,SP,Adoniran Barbosa
36,brincar,adoniran-barbosa,1,742,Homem,1910-1919,SP,Adoniran Barbosa
37,buscar,adoniran-barbosa,7,674,Homem,1910-1919,SP,Adoniran Barbosa
38,cabeça,adoniran-barbosa,2,760,Homem,1910-1919,SP,Adoniran Barbosa
39,cair,adoniran-barbosa,4,1544,Homem,1910-1919,SP,Adoniran Barbosa
40,calar,adoniran-barbosa,2,549,Homem,1910-1919,SP,Adoniran Barbosa
41,caminhar,adoniran-barbosa,2,1179,Homem,1910-1919,SP,Adoniran Barbosa
42,cansar,adoniran-barbosa,5,880,Homem,1910-1919,SP,Adoniran Barbosa
43,cantar,adoniran-barbosa,20,8891,Homem,1910-1919,SP,Adoniran Barbosa
44,canção,adoniran-barbosa,3,1030,Homem,1910-1919,SP,Adoniran Barbosa
45,carnaval,adoniran-barbosa,3,816,Homem,1910-1919,SP,Adoniran Barbosa
46,caro,adoniran-barbosa,10,2089,Homem,1910-1919,SP,Adoniran Barbosa
47,casar,adoniran-barbosa,23,2147,Homem,1910-1919,SP,Adoniran Barbosa
48,certa,adoniran-barbosa,2,522,Homem,1910-1919,SP,Adoniran Barbosa
49,certo,adoniran-barbosa,2,571,Homem,1910-1919,SP,Adoniran Barbosa
50,chamar,adoniran-barbosa,8,1650,Homem,1910-1919,SP,Adoniran Barbosa
51,chegar,adoniran-barbosa,37,4489,Homem,1910-1919,SP,Adoniran Barbosa
52,cheio,adoniran-barbosa,5,743,Homem,1910-1919,SP,Adoniran Barbosa
53,chorar,adoniran-barbosa,57,4386,Homem,1910-1919,SP,Adoniran Barbosa
54,chuva,adoniran-barbosa,2,635,Homem,1910-1919,SP,Adoniran Barbosa
55,chão,adoniran-barbosa,12,1037,Homem,1910-1919,SP,Adoniran Barbosa
56,cidade,adoniran-barbosa,5,1002,Homem,1910-1919,SP,Adoniran Barbosa
57,cima,adoniran-barbosa,6,979,Homem,1910-1919,SP,Adoniran Barbosa
58,coisa,adoniran-barbosa,24,2410,Homem,1910-1919,SP,Adoniran Barbosa
59,comer,adoniran-barbosa,28,4536,Homem,1910-1919,SP,Adoniran Barbosa
60,comigo,adoniran-barbosa,9,1583,Homem,1910-1919,SP,Adoniran Barbosa
61,como,adoniran-barbosa,22,3838,Homem,1910-1919,SP,Adoniran Barbosa
62,comprar,adoniran-barbosa,8,536,Homem,1910-1919,SP,Adoniran Barbosa
63,conhecer,adoniran-barbosa,11,878,Homem,1910-1919,SP,Adoniran Barbosa
64,conseguir,adoniran-barbosa,2,767,Homem,1910-1919,SP,Adoniran Barbosa
65,contar,adoniran-barbosa,10,1269,Homem,1910-1919,SP,Adoniran Barbosa
66,cor,adoniran-barbosa,1,821,Homem,1910-1919,SP,Adoniran Barbosa
67,coração,adoniran-barbosa,12,6266,Homem,1910-1919,SP,Adoniran Barbosa
68,corpo,adoniran-barbosa,5,1523,Homem,1910-1919,SP,Adoniran Barbosa
69,correr,adoniran-barbosa,4,1081,Homem,1910-1919,SP,Adoniran Barbosa
70,criança,adoniran-barbosa,4,708,Homem,1910-1919,SP,Adoniran Barbosa
71,cuidar,adoniran-barbosa,4,514,Homem,1910-1919,SP,Adoniran Barbosa
72,céu,adoniran-barbosa,7,2061,Homem,1910-1919,SP,Adoniran Barbosa
73,dançar,adoniran-barbosa,5,1429,Homem,1910-1919,SP,Adoniran Barbosa
74,dentro,adoniran-barbosa,5,1212,Homem,1910-1919,SP,Adoniran Barbosa
75,depois,adoniran-barbosa,17,1839,Homem,1910-1919,SP,Adoniran Barbosa
76,desde,adoniran-barbosa,2,562,Homem,1910-1919,SP,Adoniran Barbosa
77,desejar,adoniran-barbosa,2,1051,Homem,1910-1919,SP,Adoniran Barbosa
78,destinar,adoniran-barbosa,2,562,Homem,1910-1919,SP,Adoniran Barbosa
79,deus,adoniran-barbosa,16,3257,Homem,1910-1919,SP,Adoniran Barbosa
80,dever,adoniran-barbosa,4,955,Homem,1910-1919,SP,Adoniran Barbosa
81,dia,adoniran-barbosa,38,4842,Homem,1910-1919,SP,Adoniran Barbosa
82,dinheiro,adoniran-barbosa,7,680,Homem,1910-1919,SP,Adoniran Barbosa
83,dizer,adoniran-barbosa,41,8012,Homem,1910-1919,SP,Adoniran Barbosa
84,doce,adoniran-barbosa,2,690,Homem,1910-1919,SP,Adoniran Barbosa
85,doer,adoniran-barbosa,1,639,Homem,1910-1919,SP,Adoniran Barbosa
86,dono,adoniran-barbosa,6,564,Homem,1910-1919,SP,Adoniran Barbosa
87,dor,adoniran-barbosa,6,2290,Homem,1910-1919,SP,Adoniran Barbosa
88,dormir,adoniran-barbosa,7,868,Homem,1910-1919,SP,Adoniran Barbosa
89,embora,adoniran-barbosa,13,1492,Homem,1910-1919,SP,Adoniran Barbosa
90,encontrar,adoniran-barbosa,10,2135,Homem,1910-1919,SP,Adoniran Barbosa
91,entender,adoniran-barbosa,2,970,Homem,1910-1919,SP,Adoniran Barbosa
92,entrar,adoniran-barbosa,8,1652,Homem,1910-1919,SP,Adoniran Barbosa
93,entregar,adoniran-barbosa,1,774,Homem,1910-1919,SP,Adoniran Barbosa
94,errar,adoniran-barbosa,1,872,Homem,1910-1919,SP,Adoniran Barbosa
95,esperar,adoniran-barbosa,11,1753,Homem,1910-1919,SP,Adoniran Barbosa
96,esquecer,adoniran-barbosa,9,2291,Homem,1910-1919,SP,Adoniran Barbosa
97,existir,adoniran-barbosa,2,1025,Homem,1910-1919,SP,Adoniran Barbosa
98,falar,adoniran-barbosa,25,2676,Homem,1910-1919,SP,Adoniran Barbosa
99,falir,adoniran-barbosa,8,940,Homem,1910-1919,SP,Adoniran Barbosa
100,faltar,adoniran-barbosa,1,925,Homem,1910-1919,SP,Adoniran Barbosa
101,felicidade,adoniran-barbosa,1,1110,Homem,1910-1919,SP,Adoniran Barbosa
102,feliz,adoniran-barbosa,6,2585,Homem,1910-1919,SP,Adoniran Barbosa
103,festa,adoniran-barbosa,3,808,Homem,1910-1919,SP,Adoniran Barbosa
104,fim,adoniran-barbosa,3,1834,Homem,1910-1919,SP,Adoniran Barbosa
105,fogo,adoniran-barbosa,5,724,Homem,1910-1919,SP,Adoniran Barbosa
106,forte,adoniran-barbosa,1,723,Homem,1910-1919,SP,Adoniran Barbosa
107,frente,adoniran-barbosa,3,637,Homem,1910-1919,SP,Adoniran Barbosa
108,fundir,adoniran-barbosa,2,635,Homem,1910-1919,SP,Adoniran Barbosa
109,fé,adoniran-barbosa,1,861,Homem,1910-1919,SP,Adoniran Barbosa
110,ganhar,adoniran-barbosa,4,720,Homem,1910-1919,SP,Adoniran Barbosa
111,gente,adoniran-barbosa,19,5724,Homem,1910-1919,SP,Adoniran Barbosa
112,gostar,adoniran-barbosa,12,2259,Homem,1910-1919,SP,Adoniran Barbosa
113,grande,adoniran-barbosa,13,1626,Homem,1910-1919,SP,Adoniran Barbosa
114,gritar,adoniran-barbosa,5,642,Homem,1910-1919,SP,Adoniran Barbosa
115,guardar,adoniran-barbosa,6,807,Homem,1910-1919,SP,Adoniran Barbosa
116,hoje,adoniran-barbosa,28,2878,Homem,1910-1919,SP,Adoniran Barbosa
117,homem,adoniran-barbosa,10,1384,Homem,1910-1919,SP,Adoniran Barbosa
118,hora,adoniran-barbosa,14,2096,Homem,1910-1919,SP,Adoniran Barbosa
119,igual,adoniran-barbosa,10,658,Homem,1910-1919,SP,Adoniran Barbosa
120,inteirar,adoniran-barbosa,6,1032,Homem,1910-1919,SP,Adoniran Barbosa
121,irmão,adoniran-barbosa,2,590,Homem,1910-1919,SP,Adoniran Barbosa
122,jamais,adoniran-barbosa,3,638,Homem,1910-1919,SP,Adoniran Barbosa
123,jeito,adoniran-barbosa,8,1733,Homem,1910-1919,SP,Adoniran Barbosa
124,jogar,adoniran-barbosa,6,1562,Homem,1910-1919,SP,Adoniran Barbosa
125,juntar,adoniran-barbosa,1,544,Homem,1910-1919,SP,Adoniran Barbosa
126,junto,adoniran-barbosa,8,755,Homem,1910-1919,SP,Adoniran Barbosa
127,jurar,adoniran-barbosa,7,789,Homem,1910-1919,SP,Adoniran Barbosa
128,lado,adoniran-barbosa,5,1321,Homem,1910-1919,SP,Adoniran Barbosa
129,lembrar,adoniran-barbosa,11,1250,Homem,1910-1919,SP,Adoniran Barbosa
130,ler,adoniran-barbosa,3,934,Homem,1910-1919,SP,Adoniran Barbosa
131,levar,adoniran-barbosa,14,2918,Homem,1910-1919,SP,Adoniran Barbosa
132,linda,adoniran-barbosa,1,843,Homem,1910-1919,SP,Adoniran Barbosa
133,lindo,adoniran-barbosa,3,954,Homem,1910-1919,SP,Adoniran Barbosa
134,longe,adoniran-barbosa,3,852,Homem,1910-1919,SP,Adoniran Barbosa
135,louco,adoniran-barbosa,6,1032,Homem,1910-1919,SP,Adoniran Barbosa
136,lua,adoniran-barbosa,2,1323,Homem,1910-1919,SP,Adoniran Barbosa
137,lugar,adoniran-barbosa,5,1602,Homem,1910-1919,SP,Adoniran Barbosa
138,lutar,adoniran-barbosa,1,636,Homem,1910-1919,SP,Adoniran Barbosa
139,luzir,adoniran-barbosa,11,1704,Homem,1910-1919,SP,Adoniran Barbosa
140,madrugar,adoniran-barbosa,2,674,Homem,1910-1919,SP,Adoniran Barbosa
141,maior,adoniran-barbosa,1,628,Homem,1910-1919,SP,Adoniran Barbosa
142,mal,adoniran-barbosa,7,1934,Homem,1910-1919,SP,Adoniran Barbosa
143,malandro,adoniran-barbosa,2,604,Homem,1910-1919,SP,Adoniran Barbosa
144,mandar,adoniran-barbosa,3,1580,Homem,1910-1919,SP,Adoniran Barbosa
145,manhã,adoniran-barbosa,7,794,Homem,1910-1919,SP,Adoniran Barbosa
146,mar,adoniran-barbosa,2,2991,Homem,1910-1919,SP,Adoniran Barbosa
147,maria,adoniran-barbosa,9,1022,Homem,1910-1919,SP,Adoniran Barbosa
148,matar,adoniran-barbosa,6,1245,Homem,1910-1919,SP,Adoniran Barbosa
149,medo,adoniran-barbosa,1,979,Homem,1910-1919,SP,Adoniran Barbosa
150,melhor,adoniran-barbosa,6,1360,Homem,1910-1919,SP,Adoniran Barbosa
151,menino,adoniran-barbosa,1,1627,Homem,1910-1919,SP,Adoniran Barbosa
152,mentir,adoniran-barbosa,5,855,Homem,1910-1919,SP,Adoniran Barbosa
153,mesmo,adoniran-barbosa,9,2388,Homem,1910-1919,SP,Adoniran Barbosa
154,mexer,adoniran-barbosa,4,533,Homem,1910-1919,SP,Adoniran Barbosa
155,mil,adoniran-barbosa,1,621,Homem,1910-1919,SP,Adoniran Barbosa
156,momento,adoniran-barbosa,1,820,Homem,1910-1919,SP,Adoniran Barbosa
157,morar,adoniran-barbosa,13,1152,Homem,1910-1919,SP,Adoniran Barbosa
158,morrer,adoniran-barbosa,16,2666,Homem,1910-1919,SP,Adoniran Barbosa
159,mostrar,adoniran-barbosa,2,717,Homem,1910-1919,SP,Adoniran Barbosa
160,moço,adoniran-barbosa,1,716,Homem,1910-1919,SP,Adoniran Barbosa
161,mudar,adoniran-barbosa,5,1098,Homem,1910-1919,SP,Adoniran Barbosa
162,mulher,adoniran-barbosa,41,2994,Homem,1910-1919,SP,Adoniran Barbosa
163,mundo,adoniran-barbosa,13,3522,Homem,1910-1919,SP,Adoniran Barbosa
164,mãe,adoniran-barbosa,8,789,Homem,1910-1919,SP,Adoniran Barbosa
165,mão,adoniran-barbosa,18,2300,Homem,1910-1919,SP,Adoniran Barbosa
166,namorar,adoniran-barbosa,3,737,Homem,1910-1919,SP,Adoniran Barbosa
167,nascer,adoniran-barbosa,2,1401,Homem,1910-1919,SP,Adoniran Barbosa
168,negar,adoniran-barbosa,9,1206,Homem,1910-1919,SP,Adoniran Barbosa
169,negro,adoniran-barbosa,2,671,Homem,1910-1919,SP,Adoniran Barbosa
170,ninguém,adoniran-barbosa,13,3085,Homem,1910-1919,SP,Adoniran Barbosa
171,noite,adoniran-barbosa,20,2864,Homem,1910-1919,SP,Adoniran Barbosa
172,nome,adoniran-barbosa,3,928,Homem,1910-1919,SP,Adoniran Barbosa
173,novo,adoniran-barbosa,4,1685,Homem,1910-1919,SP,Adoniran Barbosa
174,nunca,adoniran-barbosa,12,2565,Homem,1910-1919,SP,Adoniran Barbosa
175,olhar,adoniran-barbosa,27,4919,Homem,1910-1919,SP,Adoniran Barbosa
176,olho,adoniran-barbosa,4,1668,Homem,1910-1919,SP,Adoniran Barbosa
177,outro,adoniran-barbosa,21,2805,Homem,1910-1919,SP,Adoniran Barbosa
178,ouvir,adoniran-barbosa,4,1639,Homem,1910-1919,SP,Adoniran Barbosa
179,pagar,adoniran-barbosa,8,832,Homem,1910-1919,SP,Adoniran Barbosa
180,pai,adoniran-barbosa,4,835,Homem,1910-1919,SP,Adoniran Barbosa
181,parar,adoniran-barbosa,9,1510,Homem,1910-1919,SP,Adoniran Barbosa
182,parecer,adoniran-barbosa,8,793,Homem,1910-1919,SP,Adoniran Barbosa
183,parir,adoniran-barbosa,18,3158,Homem,1910-1919,SP,Adoniran Barbosa
184,partir,adoniran-barbosa,12,1209,Homem,1910-1919,SP,Adoniran Barbosa
185,passar,adoniran-barbosa,28,4368,Homem,1910-1919,SP,Adoniran Barbosa
186,paz,adoniran-barbosa,4,1855,Homem,1910-1919,SP,Adoniran Barbosa
187,pedir,adoniran-barbosa,13,2118,Homem,1910-1919,SP,Adoniran Barbosa
188,pegar,adoniran-barbosa,12,1843,Homem,1910-1919,SP,Adoniran Barbosa
189,peitar,adoniran-barbosa,3,1462,Homem,1910-1919,SP,Adoniran Barbosa
190,pelo,adoniran-barbosa,4,598,Homem,1910-1919,SP,Adoniran Barbosa
191,penar,adoniran-barbosa,10,1260,Homem,1910-1919,SP,Adoniran Barbosa
192,pensar,adoniran-barbosa,4,2418,Homem,1910-1919,SP,Adoniran Barbosa
193,perder,adoniran-barbosa,20,2443,Homem,1910-1919,SP,Adoniran Barbosa
194,perdoar,adoniran-barbosa,1,606,Homem,1910-1919,SP,Adoniran Barbosa
195,perdão,adoniran-barbosa,5,586,Homem,1910-1919,SP,Adoniran Barbosa
196,perguntar,adoniran-barbosa,3,563,Homem,1910-1919,SP,Adoniran Barbosa
197,perto,adoniran-barbosa,3,647,Homem,1910-1919,SP,Adoniran Barbosa
198,plantar,adoniran-barbosa,5,762,Homem,1910-1919,SP,Adoniran Barbosa
199,pobre,adoniran-barbosa,1,635,Homem,1910-1919,SP,Adoniran Barbosa
200,poder,adoniran-barbosa,49,7634,Homem,1910-1919,SP,Adoniran Barbosa
201,portar,adoniran-barbosa,10,690,Homem,1910-1919,SP,Adoniran Barbosa
202,pouco,adoniran-barbosa,11,1124,Homem,1910-1919,SP,Adoniran Barbosa
203,povo,adoniran-barbosa,3,1256,Homem,1910-1919,SP,Adoniran Barbosa
204,precisar,adoniran-barbosa,4,2443,Homem,1910-1919,SP,Adoniran Barbosa
205,preto,adoniran-barbosa,2,740,Homem,1910-1919,SP,Adoniran Barbosa
206,primeiro,adoniran-barbosa,8,882,Homem,1910-1919,SP,Adoniran Barbosa
207,procurar,adoniran-barbosa,13,2198,Homem,1910-1919,SP,Adoniran Barbosa
208,provar,adoniran-barbosa,2,581,Homem,1910-1919,SP,Adoniran Barbosa
209,pé,adoniran-barbosa,15,1424,Homem,1910-1919,SP,Adoniran Barbosa
210,qual,adoniran-barbosa,3,654,Homem,1910-1919,SP,Adoniran Barbosa
211,quase,adoniran-barbosa,7,764,Homem,1910-1919,SP,Adoniran Barbosa
212,quebrar,adoniran-barbosa,1,614,Homem,1910-1919,SP,Adoniran Barbosa
213,razão,adoniran-barbosa,7,1038,Homem,1910-1919,SP,Adoniran Barbosa
214,refrão,adoniran-barbosa,1,1021,Homem,1910-1919,SP,Adoniran Barbosa
215,rei,adoniran-barbosa,2,998,Homem,1910-1919,SP,Adoniran Barbosa
216,repente,adoniran-barbosa,2,1108,Homem,1910-1919,SP,Adoniran Barbosa
217,rir,adoniran-barbosa,2,839,Homem,1910-1919,SP,Adoniran Barbosa
218,rodar,adoniran-barbosa,3,884,Homem,1910-1919,SP,Adoniran Barbosa
219,ruir,adoniran-barbosa,6,868,Homem,1910-1919,SP,Adoniran Barbosa
220,samba,adoniran-barbosa,13,1269,Homem,1910-1919,SP,Adoniran Barbosa
221,sambar,adoniran-barbosa,22,6306,Homem,1910-1919,SP,Adoniran Barbosa
222,santo,adoniran-barbosa,1,780,Homem,1910-1919,SP,Adoniran Barbosa
223,saudade,adoniran-barbosa,3,2670,Homem,1910-1919,SP,Adoniran Barbosa
224,seguir,adoniran-barbosa,3,771,Homem,1910-1919,SP,Adoniran Barbosa
225,sempre,adoniran-barbosa,20,3360,Homem,1910-1919,SP,Adoniran Barbosa
226,senhor,adoniran-barbosa,15,1178,Homem,1910-1919,SP,Adoniran Barbosa
227,sentir,adoniran-barbosa,13,3125,Homem,1910-1919,SP,Adoniran Barbosa
228,sobrar,adoniran-barbosa,2,608,Homem,1910-1919,SP,Adoniran Barbosa
229,sofrer,adoniran-barbosa,11,2090,Homem,1910-1919,SP,Adoniran Barbosa
230,sol,adoniran-barbosa,6,2154,Homem,1910-1919,SP,Adoniran Barbosa
231,sonhar,adoniran-barbosa,4,2462,Homem,1910-1919,SP,Adoniran Barbosa
232,sonho,adoniran-barbosa,4,1098,Homem,1910-1919,SP,Adoniran Barbosa
233,sorrir,adoniran-barbosa,2,1303,Homem,1910-1919,SP,Adoniran Barbosa
234,suar,adoniran-barbosa,11,3445,Homem,1910-1919,SP,Adoniran Barbosa
235,subir,adoniran-barbosa,9,519,Homem,1910-1919,SP,Adoniran Barbosa
236,tardar,adoniran-barbosa,7,608,Homem,1910-1919,SP,Adoniran Barbosa
237,tempo,adoniran-barbosa,15,3470,Homem,1910-1919,SP,Adoniran Barbosa
238,terra,adoniran-barbosa,2,1295,Homem,1910-1919,SP,Adoniran Barbosa
239,tocar,adoniran-barbosa,10,1207,Homem,1910-1919,SP,Adoniran Barbosa
240,tomar,adoniran-barbosa,3,897,Homem,1910-1919,SP,Adoniran Barbosa
241,trabalhar,adoniran-barbosa,20,743,Homem,1910-1919,SP,Adoniran Barbosa
242,trazer,adoniran-barbosa,7,1614,Homem,1910-1919,SP,Adoniran Barbosa
243,triste,adoniran-barbosa,9,1063,Homem,1910-1919,SP,Adoniran Barbosa
244,tristeza,adoniran-barbosa,9,1071,Homem,1910-1919,SP,Adoniran Barbosa
245,valer,adoniran-barbosa,4,1283,Homem,1910-1919,SP,Adoniran Barbosa
246,velho,adoniran-barbosa,15,1101,Homem,1910-1919,SP,Adoniran Barbosa
247,ventar,adoniran-barbosa,8,911,Homem,1910-1919,SP,Adoniran Barbosa
248,ver,adoniran-barbosa,55,9632,Homem,1910-1919,SP,Adoniran Barbosa
249,verdade,adoniran-barbosa,6,1075,Homem,1910-1919,SP,Adoniran Barbosa
250,vida,adoniran-barbosa,19,6401,Homem,1910-1919,SP,Adoniran Barbosa
251,virar,adoniran-barbosa,6,1109,Homem,1910-1919,SP,Adoniran Barbosa
252,viver,adoniran-barbosa,19,4828,Homem,1910-1919,SP,Adoniran Barbosa
253,voar,adoniran-barbosa,1,593,Homem,1910-1919,SP,Adoniran Barbosa
254,voltar,adoniran-barbosa,37,3429,Homem,1910-1919,SP,Adoniran Barbosa
255,vontade,adoniran-barbosa,5,833,Homem,1910-1919,SP,Adoniran Barbosa
256,voz,adoniran-barbosa,1,1099,Homem,1910-1919,SP,Adoniran Barbosa
257,água,adoniran-barbosa,4,1388,Homem,1910-1919,SP,Adoniran Barbosa
258,abraçar,agepe,23,742,Homem,1940-1949,RJ,Agepê
259,abrir,agepe,10,912,Homem,1940-1949,RJ,Agepê
260,acabar,agepe,28,1832,Homem,1940-1949,RJ,Agepê
261,achar,agepe,15,1151,Homem,1940-1949,RJ,Agepê
262,acontecer,agepe,14,929,Homem,1940-1949,RJ,Agepê
263,acordar,agepe,4,698,Homem,1940-1949,RJ,Agepê
264,acreditar,agepe,4,756,Homem,1940-1949,RJ,Agepê
265,adeus,agepe,14,801,Homem,1940-1949,RJ,Agepê
266,agora,agepe,41,2881,Homem,1940-1949,RJ,Agepê
267,alegria,agepe,37,1494,Homem,1940-1949,RJ,Agepê
268,almo,agepe,13,613,Homem,1940-1949,RJ,Agepê
269,alto,agepe,1,649,Homem,1940-1949,RJ,Agepê
270,além,agepe,4,940,Homem,1940-1949,RJ,Agepê
271,amanhã,agepe,19,1094,Homem,1940-1949,RJ,Agepê
272,amar,agepe,183,9816,Homem,1940-1949,RJ,Agepê
273,amigar,agepe,5,701,Homem,1940-1949,RJ,Agepê
274,amigo,agepe,4,635,Homem,1940-1949,RJ,Agepê
275,amor,agepe,639,31458,Homem,1940-1949,RJ,Agepê
276,andar,agepe,7,1990,Homem,1940-1949,RJ,Agepê
277,ano,agepe,4,667,Homem,1940-1949,RJ,Agepê
278,apaixonar,agepe,11,714,Homem,1940-1949,RJ,Agepê
279,apenas,agepe,4,538,Homem,1940-1949,RJ,Agepê
280,aprender,agepe,5,704,Homem,1940-1949,RJ,Agepê
281,ar,agepe,15,778,Homem,1940-1949,RJ,Agepê
282,azul,agepe,12,668,Homem,1940-1949,RJ,Agepê
283,bahia,agepe,37,658,Homem,1940-1949,RJ,Agepê
284,balançar,agepe,10,668,Homem,1940-1949,RJ,Agepê
285,bater,agepe,29,1694,Homem,1940-1949,RJ,Agepê
286,batucar,agepe,13,526,Homem,1940-1949,RJ,Agepê
287,beber,agepe,31,983,Homem,1940-1949,RJ,Agepê
288,beijar,agepe,14,1982,Homem,1940-1949,RJ,Agepê
289,beleza,agepe,20,765,Homem,1940-1949,RJ,Agepê
290,belo,agepe,9,561,Homem,1940-1949,RJ,Agepê
291,boca,agepe,10,1198,Homem,1940-1949,RJ,Agepê
292,bolar,agepe,1,545,Homem,1940-1949,RJ,Agepê
293,bom,agepe,35,3691,Homem,1940-1949,RJ,Agepê
294,bonito,agepe,12,1166,Homem,1940-1949,RJ,Agepê
295,branco,agepe,14,706,Homem,1940-1949,RJ,Agepê
296,brasil,agepe,11,1094,Homem,1940-1949,RJ,Agepê
297,brasileiro,agepe,10,549,Homem,1940-1949,RJ,Agepê
298,braço,agepe,19,799,Homem,1940-1949,RJ,Agepê
299,brigar,agepe,9,610,Homem,1940-1949,RJ,Agepê
300,brilhar,agepe,27,921,Homem,1940-1949,RJ,Agepê
301,brincar,agepe,29,742,Homem,1940-1949,RJ,Agepê
302,buscar,agepe,9,674,Homem,1940-1949,RJ,Agepê
303,cabeça,agepe,7,760,Homem,1940-1949,RJ,Agepê
304,cair,agepe,12,1544,Homem,1940-1949,RJ,Agepê
305,calar,agepe,8,549,Homem,1940-1949,RJ,Agepê
306,calor,agepe,28,629,Homem,1940-1949,RJ,Agepê
307,caminhar,agepe,23,1179,Homem,1940-1949,RJ,Agepê
308,cansar,agepe,6,880,Homem,1940-1949,RJ,Agepê
309,cantar,agepe,223,8891,Homem,1940-1949,RJ,Agepê
310,canção,agepe,4,1030,Homem,1940-1949,RJ,Agepê
311,carnaval,agepe,14,816,Homem,1940-1949,RJ,Agepê
312,caro,agepe,25,2089,Homem,1940-1949,RJ,Agepê
313,casar,agepe,18,2147,Homem,1940-1949,RJ,Agepê
314,certa,agepe,3,522,Homem,1940-1949,RJ,Agepê
315,certo,agepe,2,571,Homem,1940-1949,RJ,Agepê
316,chamar,agepe,33,1650,Homem,1940-1949,RJ,Agepê
317,chegar,agepe,56,4489,Homem,1940-1949,RJ,Agepê
318,cheio,agepe,14,743,Homem,1940-1949,RJ,Agepê
319,chorar,agepe,90,4386,Homem,1940-1949,RJ,Agepê
320,chuva,agepe,12,635,Homem,1940-1949,RJ,Agepê
321,chão,agepe,14,1037,Homem,1940-1949,RJ,Agepê
322,cidade,agepe,10,1002,Homem,1940-1949,RJ,Agepê
323,cima,agepe,6,979,Homem,1940-1949,RJ,Agepê
324,coisa,agepe,19,2410,Homem,1940-1949,RJ,Agepê
325,comer,agepe,66,4536,Homem,1940-1949,RJ,Agepê
326,comigo,agepe,19,1583,Homem,1940-1949,RJ,Agepê
327,como,agepe,58,3838,Homem,1940-1949,RJ,Agepê
328,comprar,agepe,10,536,Homem,1940-1949,RJ,Agepê
329,conhecer,agepe,6,878,Homem,1940-1949,RJ,Agepê
330,conseguir,agepe,2,767,Homem,1940-1949,RJ,Agepê
331,contar,agepe,22,1269,Homem,1940-1949,RJ,Agepê
332,cor,agepe,36,821,Homem,1940-1949,RJ,Agepê
333,coração,agepe,96,6266,Homem,1940-1949,RJ,Agepê
